DateLocal,T,WindDir,WindSpd,RH,P,City
2019-04-07 21:00:00,63.8400001525879,181.001998901367,6.42000007629395,61,1020.77001953125,Boston
2019-04-08 00:00:00,60.2400016784668,201,6.40000009536743,64,1020.13000488281,Boston
2019-04-08 03:00:00,56.7299995422363,207.503005981445,9.85999965667725,65,1020.26000976563,Boston
2019-04-08 06:00:00,51.5499992370605,207.50700378418,5.6399998664856,70,1019.51000976563,Boston
2019-04-08 09:00:00,45.4199981689453,31.007999420166,8.11999988555908,79,1019.23999023438,Boston
2019-04-08 12:00:00,41.6100006103516,43.5009002685547,9.3100004196167,96,1018.52001953125,Boston
2019-04-08 15:00:00,42.3499984741211,85.5020980834961,8.65999984741211,95,1015.70001220703,Boston
2019-04-08 18:00:00,43.7599983215332,111.509002685547,9.75,94,1011.02001953125,Boston
2019-04-08 21:00:00,44.9000015258789,354.502014160156,1.70000004768372,93,1007.55999755859,Boston
2019-04-09 00:00:00,42.9000015258789,352.002990722656,8.52000045776367,94,1007.63000488281,Boston
2019-04-09 03:00:00,41.0200004577637,18.5016994476318,8.88000011444092,97,1008.27001953125,Boston
2019-04-09 06:00:00,40.3800010681152,27.0104999542236,6.90999984741211,100,1007.21997070313,Boston
2019-04-09 09:00:00,39.9199981689453,35.5063018798828,8.34000015258789,100,1007.32000732422,Boston
2019-04-09 12:00:00,39.8699989318848,39.5008010864258,10.6700000762939,100,1007.27001953125,Boston
2019-04-09 15:00:00,40.2000007629395,47.5041999816895,12.7700004577637,97,1006.71002197266,Boston
2019-04-09 18:00:00,40.4099998474121,59.5,11.8999996185303,99,1004.64001464844,Boston
2019-04-09 21:00:00,40.5900001525879,86.5002975463867,13.1099996566772,99,1002.75,Boston
2019-04-10 00:00:00,39.6599998474121,109.501998901367,15.5200004577637,100,1001.05999755859,Boston
2019-04-10 03:00:00,37.560001373291,58.5008010864258,13.0200004577637,100,1002.03002929688,Boston
2019-04-10 06:00:00,37.9900016784668,57.0018005371094,10.1999998092651,100,1001.59997558594,Boston
2019-04-10 09:00:00,37.7099990844727,28.5021991729736,8.43000030517578,100,1002.80999755859,Boston
2019-04-10 12:00:00,37,16.0004997253418,13.5600004196167,100,1005.73999023438,Boston
2019-04-10 15:00:00,37.8899993896484,10.0060997009277,11.210000038147,100,1008.90997314453,Boston
2019-04-10 18:00:00,40.1599998474121,34.0004997253418,5.92999982833862,95,1009.84002685547,Boston
2019-04-10 21:00:00,41.060001373291,137.003005981445,2.58999991416931,94,1011.03997802734,Boston
2019-04-11 00:00:00,40.7900009155273,156.5,1.13999998569489,91,1013.04998779297,Boston
2019-04-11 03:00:00,39.2200012207031,329.505004882813,5.98999977111816,91,1015.94000244141,Boston
